#FILE:X_(10K-min)_30C_500C_04.10.2024.ngb-ds3
#FORMAT:NETZSCH5
#IDENTITY:1
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DTA
#INSTRUMENT:NETZSCH STA 449F3
#PROJECT:ChR1
#DATE/TIME:21/03/2007 6:46:19
#CORR. FILE:Correction Empty_DTA_TG_Al2O3_(10K-min)_30C_1300C_03.10.2024_NEW CRUCIBLE.ngb-bs3
#LABORATORY:203
#OPERATOR:Askar
#REMARK:
#SAMPLE:1200
#SAMPLE MASS /mg:23.730
#MATERIAL:Pudre
#REFERENCE:empty
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3
#SAMPLE CRUCIBLE MASS /mg:0.0
#REFERENCE CRUCIBLE MASS /mg:0
#CORR. CODE:020
#EXO:-1
#RANGE:30/10.0(K/min)/500
#SEGMENT:S1/1

##Temp./°C;Time/min;DTA/(uV/mg);Mass/%;Sensit./(uV/mW)
 22.82100;0.0000e+000; 0.0000e+000;100.00000;1.00000
 22.81500;1.0000e-002; 9.6453e-005;102.12811;1.00000
 22.82600;2.0000e-002; 1.2860e-004;100.15171;1.00000
 22.82500;3.0000e-002; 9.6453e-005;100.35820;1.00000
 22.82200;4.0000e-002;-2.5914e-012;100.38769;1.00000
 22.82300;5.0000e-002; 6.4302e-005;100.40034;1.00000
 22.82900;6.0000e-002; 1.2860e-004;100.45091;1.00000
 22.81000;7.0000e-002; 6.4302e-005;100.45512;1.00000
 22.81900;8.0000e-002; 1.2860e-004;100.39191;1.00000
 22.80800;9.0000e-002; 6.4302e-005;100.38348;1.00000
 22.80900;1.0000e-001;-1.2860e-004;100.38348;1.00000
 22.81200;    0.11000;-3.2151e-005;100.37927;1.00000
 22.81900;    0.12000;-2.2506e-004;100.37084;1.00000
 22.81700;    0.13000; 6.0651e-011;100.37084;1.00000
 22.83400;    0.14000;-9.6453e-005;100.37927;1.00000
 22.82600;    0.15000;-1.6075e-004;100.37927;1.00000
 22.82800;    0.16000;-1.9290e-004;100.38769;1.00000
 22.82000;    0.17000; 3.2151e-005;100.38769;1.00000
 22.81600;    0.18000;-6.4302e-005;100.38769;1.00000
 22.81200;    0.19000;-1.2860e-004;100.38769;1.00000
 22.82900;    0.20000;-2.5721e-004;100.38348;1.00000
 22.83200;    0.21000;-4.1796e-004;100.38348;1.00000
 22.82600;    0.22000;-5.1441e-004;100.38769;1.00000
 22.83400;    0.23000;-5.4656e-004;100.38769;1.00000
 22.82800;    0.24000;-5.1441e-004;100.38769;1.00000
 22.84400;    0.25000;-6.4302e-004;100.38769;1.00000
 22.85300;    0.26000;-6.1087e-004;100.39191;1.00000
 22.86700;    0.27000;-9.0022e-004;100.38348;1.00000
 22.86700;    0.28000;-1.0288e-003;100.39191;1.00000
 22.88100;    0.29000;-1.1574e-003;100.39191;1.00000
 22.88500;    0.30000;-1.4468e-003;100.39191;1.00000
 22.89800;    0.31000;-1.5432e-003;100.39191;1.00000
 22.89200;    0.32000;-1.6718e-003;100.40455;1.00000
 22.91700;    0.33000;-1.7361e-003;100.39612;1.00000
 22.91200;    0.34000;-1.7040e-003;100.40034;1.00000
 22.94600;    0.35000;-2.1220e-003;100.40455;1.00000
 22.93200;    0.36000;-2.6042e-003;100.41298;1.00000
 22.96100;    0.37000;-2.7007e-003;100.41298;1.00000
 22.98600;    0.38000;-2.7328e-003;100.41719;1.00000
 23.01400;    0.39000;-2.7971e-003;100.42141;1.00000
 23.01800;    0.40000;-3.2151e-003;100.42562;1.00000
 23.05400;    0.41000;-3.4080e-003;100.42984;1.00000
 23.06400;    0.42000;-3.6973e-003;100.43405;1.00000
 23.10400;    0.43000;-3.9546e-003;100.43826;1.00000
 23.12600;    0.44000;-4.1475e-003;100.44248;1.00000
 23.16600;    0.45000;-4.5333e-003;100.44669;1.00000
 23.18600;    0.46000;-4.6619e-003;100.44669;1.00000
 23.22600;    0.47000;-5.0155e-003;100.44669;1.00000
 23.23900;    0.48000;-5.4978e-003;100.44248;1.00000
 23.28700;    0.49000;-5.4656e-003;100.43826;1.00000
 23.32200;    0.50000;-5.7872e-003;100.43826;1.00000
 23.35000;    0.51000;-5.9158e-003;100.43826;1.00000
 23.39400;    0.52000;-6.1408e-003;100.43826;1.00000
 23.43300;    0.53000;-6.7517e-003;100.43826;1.00000
 23.46500;    0.54000;-6.7838e-003;100.44248;1.00000
 23.52800;    0.55000;-7.0732e-003;100.44669;1.00000
 23.55600;    0.56000;-7.4911e-003;100.43826;1.00000
 23.61100;    0.57000;-8.0056e-003;100.41719;1.00000
 23.65800;    0.58000;-8.3914e-003;100.40455;1.00000
 23.68900;    0.59000;-8.5521e-003;100.40877;1.00000
 23.76000;    0.60000;-8.6807e-003;100.41298;1.00000
 23.81300;    0.61000;-8.8415e-003;100.42984;1.00000
 23.85400;    0.62000;-8.9379e-003;100.45512;1.00000
 23.89900;    0.63000;-9.4202e-003;100.47619;1.00000
 23.94300;    0.64000;-9.8703e-003;100.47198;1.00000
 23.99700;    0.65000;-9.9668e-003;100.47619;1.00000
 24.04600;    0.66000;-1.0063e-002;100.46355;1.00000
 24.12700;    0.67000;-1.0513e-002;100.45091;1.00000
 24.19800;    0.68000;-1.0706e-002;100.45512;1.00000
 24.25700;    0.69000;-1.0867e-002;100.45512;1.00000
 24.32300;    0.70000;-1.1092e-002;100.46355;1.00000
 24.38700;    0.71000;-1.1253e-002;100.46355;1.00000
 24.45200;    0.72000;-1.1381e-002;100.47198;1.00000
 24.50500;    0.73000;-1.1639e-002;100.48040;1.00000
 24.58300;    0.74000;-1.1799e-002;100.48883;1.00000
 24.64500;    0.75000;-1.1639e-002;100.49726;1.00000
 24.71700;    0.76000;-1.1767e-002;100.49726;1.00000
 24.79100;    0.77000;-1.2185e-002;100.51412;1.00000
 24.87200;    0.78000;-1.2539e-002;100.50990;1.00000
 24.93400;    0.79000;-1.2539e-002;100.52676;1.00000
 25.02500;    0.80000;-1.2732e-002;100.52255;1.00000
 25.09400;    0.81000;-1.2860e-002;100.53097;1.00000
 25.16700;    0.82000;-1.3182e-002;100.53097;1.00000
 25.25700;    0.83000;-1.3246e-002;100.53097;1.00000
 25.34500;    0.84000;-1.3407e-002;100.53519;1.00000
 25.42000;    0.85000;-1.3632e-002;100.54362;1.00000
 25.50500;    0.86000;-1.3761e-002;100.53940;1.00000
